date,value
2001/10/31,92.7
2001/9/30,92.8
2001/8/31,94
2001/7/31,95.2
2001/6/30,96.1
2001/5/31,95.8
2001/4/30,93.6
2001/3/31,89.7
2001/2/28,90.6
2001/1/31,90.8
2000/12/31,93.6
2000/11/30,93
2000/10/31,93.7
