date,value
2020/1/31,435009
2020/1/24,431654
2020/1/17,428106
2020/1/10,428511
2020/1/3,431060
2019/12/27,429896
2019/12/20,441359
2019/12/13,446833
2019/12/6,447918
2019/11/29,447096
2019/11/22,451952
2019/11/15,450380
2019/11/8,449001
2019/11/1,446782
2019/10/25,438853
2019/10/18,433151
2019/10/11,434850
2019/10/4,425569
2019/9/27,422642
2019/9/20,419538
2019/9/13,417126
2019/9/6,416068
2019/8/30,422980
2019/8/23,427751
2019/8/16,437778
2019/8/9,440510
2019/8/2,438930
2019/7/26,436545
2019/7/19,445041
2019/7/12,455876
2019/7/5,458992
2019/6/28,468491
2019/6/21,469576
2019/6/14,482364
2019/6/7,485470
2019/5/31,483264
2019/5/24,476493
2019/5/17,476775
2019/5/10,472035
2019/5/3,466604
2019/4/26,470567
2019/4/19,460633
2019/4/12,455154
2019/4/5,456550
2019/3/29,449521
2019/3/22,442283
2019/3/15,439483
2019/3/8,449072
2019/3/1,452934
2019/2/22,445865
2019/2/15,454512
2019/2/8,450840
2019/2/1,447207
2019/1/25,445944
2019/1/18,445025
2019/1/11,437055
2019/1/4,439738
2018/12/28,441418
2018/12/21,441411
2018/12/14,441457
2018/12/7,441954
2018/11/30,443162
2018/11/23,450485
2018/11/16,446908
2018/11/9,442057
2018/11/2,431787
2018/10/26,426004
2018/10/19,422787
2018/10/12,416441
2018/10/5,409951
2018/9/28,403964
2018/9/21,395989
2018/9/14,394137
2018/9/7,396194
2018/8/31,401490
2018/8/24,405792
2018/8/17,408358
2018/8/10,414194
2018/8/3,407389
2018/7/27,408740
2018/7/20,404937
2018/7/13,411084
2018/7/6,405248
2018/6/29,417881
2018/6/22,416636
2018/6/15,426527
2018/6/8,432441
2018/6/1,436584
2018/5/25,434512
2018/5/18,438132
2018/5/11,432354
2018/5/4,433758
2018/4/27,435955
2018/4/20,429737
2018/4/13,427567
2018/4/6,428638
2018/3/30,425332
2018/3/23,429949
2018/3/16,428306
2018/3/9,430928
2018/3/2,425906
2018/2/23,423498
2018/2/16,420479
2018/2/9,422095
2018/2/2,420254
2018/1/26,418359
2018/1/19,411583
2018/1/12,412654
2018/1/5,419515
2017/12/29,424463
2017/12/22,431882
2017/12/15,436491
2017/12/8,442986
2017/12/1,448103
2017/11/24,453713
2017/11/17,457142
2017/11/10,458997
2017/11/3,457143
2017/10/27,454906
2017/10/20,457341
2017/10/13,456485
2017/10/6,462216
2017/9/29,464963
2017/9/22,470986
2017/9/15,472832
2017/9/8,468241
2017/9/1,462353
2017/8/25,457773
2017/8/18,463165
2017/8/11,466492
2017/8/4,475437
2017/7/28,481888
2017/7/21,483415
2017/7/14,490623
2017/7/7,495350
2017/6/30,502914
2017/6/23,509213
2017/6/16,509095
2017/6/9,511546
2017/6/2,513207
2017/5/26,509912
2017/5/19,516340
2017/5/12,520772
2017/5/5,522525
2017/4/28,527772
2017/4/21,528702
2017/4/14,532343
2017/4/7,533377
2017/3/31,535543
2017/3/24,533977
2017/3/17,533110
2017/3/10,528156
2017/3/3,528393
2017/2/24,520184
2017/2/17,518683
2017/2/10,518119
2017/2/3,508592
2017/1/27,494762
2017/1/20,488296
2017/1/13,485456
2017/1/6,483109
2016/12/30,479012
2016/12/23,486063
2016/12/16,485449
2016/12/9,483193
2016/12/2,485756
2016/11/25,488145
2016/11/18,489029
2016/11/11,490284
2016/11/4,485010
2016/10/28,482578
2016/10/21,468158
2016/10/14,468711
2016/10/7,473958
2016/9/30,469108
2016/9/23,472084
2016/9/16,473966
2016/9/9,480166
2016/9/2,480725
2016/8/26,495238
2016/8/19,492962
2016/8/12,490461
2016/8/5,492969
2016/7/29,491914
2016/7/22,490501
2016/7/15,488830
2016/7/8,491172
2016/7/1,493718
2016/6/24,495941
2016/6/17,499994
2016/6/10,500911
2016/6/3,501844
2016/5/27,504205
2016/5/20,505571
2016/5/13,509797
2016/5/6,508487
2016/4/29,512095
2016/4/22,509311
2016/4/15,507312
2016/4/8,505232
2016/4/1,498598
2016/3/25,503816
2016/3/18,501517
2016/3/11,492160
2016/3/4,490843
2016/2/26,486699
2016/2/19,476325
2016/2/12,472823
2016/2/5,470676
2016/1/29,471344
2016/1/22,463552
2016/1/15,455169
2016/1/8,451190
2016/1/1,450956
2015/12/25,455106
2015/12/18,452477
2015/12/11,458354
2015/12/4,453553
2015/11/27,457212
2015/11/20,456035
2015/11/13,455074
2015/11/6,454822
2015/10/30,450841
2015/10/23,447994
2015/10/16,444618
2015/10/9,436590
2015/10/2,429028
2015/9/25,425988
2015/9/18,422033
2015/9/11,423958
2015/9/4,426062
2015/8/28,423657
2015/8/21,418990
2015/8/14,424442
2015/8/7,421822
2015/7/31,423226
2015/7/24,427633
2015/7/17,431836
2015/7/10,429368
2015/7/3,433714
2015/6/26,433223
2015/6/19,430837
2015/6/12,435771
2015/6/5,438447
2015/5/29,444464
2015/5/22,446412
2015/5/15,449214
2015/5/8,451888
2015/5/1,454079
2015/4/24,458181
2015/4/17,456271
2015/4/10,450956
2015/4/3,449662
2015/3/27,437983
2015/3/20,433217
2015/3/13,425047
2015/3/6,415425
2015/2/27,410246
2015/2/20,399943
2015/2/13,391516
2015/2/6,383800
2015/1/30,379473
2015/1/23,373140
2015/1/16,364266
2015/1/9,354195
2015/1/2,348806
2014/12/26,352979
2014/12/19,354733
2014/12/12,347466
2014/12/5,348313
2014/11/28,347015
2014/11/21,350704
2014/11/14,348758
2014/11/7,346150
2014/10/31,348935
2014/10/24,348475
2014/10/17,346414
2014/10/10,339303
2014/10/3,330380
2014/9/26,325465
2014/9/19,326828
2014/9/12,331101
2014/9/5,327428
2014/8/29,328119
2014/8/22,329024
2014/8/15,331094
2014/8/8,335568
2014/8/1,334167
2014/7/25,335631
2014/7/18,339328
2014/7/11,343297
2014/7/4,350822
2014/6/27,353229
2014/6/20,356384
2014/6/13,354642
2014/6/6,355221
2014/5/30,357951
2014/5/23,361382
2014/5/16,359725
2014/5/9,366951
2014/5/2,366004
2014/4/25,367576
2014/4/18,365878
2014/4/11,362354
2014/4/4,352341
2014/3/28,348423
2014/3/21,350802
2014/3/14,344183
2014/3/7,338333
2014/2/28,332453
2014/2/21,331024
2014/2/14,330956
2014/2/7,329983
2014/1/31,326930
2014/1/24,326490
2014/1/17,320069
2014/1/10,319079
2014/1/3,326737
2013/12/27,330695
2013/12/20,337702
2013/12/13,342433
2013/12/6,345374
2013/11/29,356378
2013/11/22,361963
2013/11/15,359010
2013/11/8,358635
2013/11/1,355995
2013/10/25,354806
2013/10/18,350719
2013/10/11,345473
2013/10/4,341474
2013/9/27,334730
2013/9/20,329258
2013/9/13,326623
2013/9/6,330991
2013/8/30,331609
2013/8/23,333445
2013/8/16,330459
2013/8/9,331887
2013/8/2,334699
2013/7/26,336130
2013/7/19,335699
2013/7/12,338524
2013/7/5,345426
2013/6/28,355163
2013/6/21,365510
2013/6/14,365492
2013/6/7,365179
2013/5/31,362550
2013/5/24,368817
2013/5/17,365817
2013/5/10,366155
2013/5/3,366779
2013/4/26,366408
2013/4/19,359712
2013/4/12,358765
2013/4/5,359998
2013/3/29,360116
2013/3/22,357409
2013/3/15,354153
2013/3/8,355467
2013/3/1,352843
2013/2/22,349107
2013/2/15,347977
2013/2/8,343834
2013/2/1,343274
2013/1/25,340940
2013/1/18,334993
2013/1/11,332180
2013/1/4,333131
2012/12/28,332239
2012/12/21,343359
2012/12/14,343945
2012/12/7,344909
2012/11/30,344769
2012/11/23,347126
